,Age (decade),Education Years,Income,Gender,Income Binary
10688,50.0,11, <=50K, Male,0
22145,30.0,6, >50K, Male,0
2591,30.0,10, <=50K, Male,0
24725,10.0,10, <=50K, Male,0
31552,20.0,9, <=50K, Female,0
14082,20.0,9, >50K, Male,1
26040,20.0,9, <=50K, Male,0
30770,20.0,10, <=50K, Female,0
14385,40.0,9, <=50K, Male,0
28521,20.0,11, <=50K, Female,1
18957,30.0,9, <=50K, Female,0
24324,40.0,11, <=50K, Male,0
11830,20.0,>12, <=50K, Male,0
27700,40.0,7, <=50K, Female,0
5733,30.0,9, <=50K, Male,0
16542,30.0,>12, <=50K, Male,0
27844,60.0,9, <=50K, Male,0
24722,30.0,>12, >50K, Male,1
14316,20.0,10, <=50K, Female,0
11292,50.0,7, >50K, Male,1
32214,20.0,<6, >50K, Male,1
15569,10.0,10, <=50K, Male,0
14046,60.0,9, <=50K, Female,0
23829,30.0,9, >50K, Male,1
29829,50.0,12, >50K, Female,1
23863,20.0,10, <=50K, Male,0
12820,30.0,9, <=50K, Female,1
3482,20.0,9, <=50K, Female,0
1855,20.0,>12, <=50K, Female,0
25054,20.0,10, <=50K, Male,0
6172,50.0,10, <=50K, Female,0
18063,10.0,6, <=50K, Male,0
520,30.0,>12, >50K, Male,1
13113,40.0,>12, <=50K, Female,0
20090,60.0,9, <=50K, Male,0
26459,30.0,>12, <=50K, Male,0
2692,40.0,9, <=50K, Male,0
18105,30.0,>12, <=50K, Female,1
18220,40.0,9, <=50K, Female,0
21395,30.0,10, <=50K, Male,0
6462,20.0,10, <=50K, Female,0
21485,40.0,10, <=50K, Female,0
10374,20.0,6, <=50K, Female,0
18685,50.0,9, <=50K, Male,0
23402,20.0,9, >50K, Female,1
25820,40.0,9, <=50K, Female,1
25866,50.0,10, <=50K, Male,0
2154,>=70,6, <=50K, Female,1
18932,60.0,<6, >50K, Male,1
7816,50.0,10, <=50K, Male,0
20544,20.0,10, <=50K, Male,0
10011,30.0,>12, <=50K, Male,0
24500,20.0,11, <=50K, Female,0
18476,30.0,9, <=50K, Male,0
27726,20.0,9, <=50K, Male,0
14291,40.0,9, <=50K, Female,0
18466,60.0,9, <=50K, Female,0
8102,40.0,10, >50K, Male,0
30708,20.0,9, <=50K, Male,0
11546,40.0,9, <=50K, Male,0
2461,20.0,12, <=50K, Male,0
24375,10.0,9, <=50K, Male,0
2546,30.0,10, >50K, Male,0
31759,10.0,9, <=50K, Male,0
18362,20.0,10, <=50K, Male,0
29285,>=70,>12, >50K, Male,0
29492,20.0,>12, <=50K, Male,0
25243,30.0,>12, >50K, Male,1
3142,40.0,9, <=50K, Male,0
26600,40.0,9, >50K, Male,1
10741,20.0,11, <=50K, Male,0
1908,20.0,6, <=50K, Male,0
355,30.0,9, >50K, Male,1
23776,10.0,10, <=50K, Female,0
5072,60.0,<6, >50K, Male,1
27007,60.0,11, >50K, Male,1
24940,50.0,>12, >50K, Male,1
13352,40.0,>12, >50K, Male,1
18228,60.0,9, <=50K, Male,0
14707,40.0,>12, <=50K, Male,0
26755,20.0,>12, <=50K, Male,0
21705,30.0,>12, >50K, Female,1
878,30.0,9, >50K, Male,1
9791,50.0,9, <=50K, Male,0
15769,40.0,>12, <=50K, Female,0
10805,20.0,10, <=50K, Male,0
26452,20.0,>12, <=50K, Male,0
17783,20.0,9, <=50K, Male,0
23744,50.0,9, <=50K, Female,0
19441,60.0,11, <=50K, Male,0
15771,20.0,<6, <=50K, Male,0
14425,20.0,9, <=50K, Male,0
12088,20.0,9, <=50K, Male,0
26658,30.0,9, <=50K, Male,0
8032,30.0,9, <=50K, Male,0
19180,>=70,6, <=50K, Male,0
23549,50.0,>12, >50K, Female,1
5091,30.0,9, <=50K, Female,0
5430,40.0,12, <=50K, Male,0
3561,40.0,9, >50K, Male,1
5190,20.0,9, <=50K, Male,0
18658,20.0,9, <=50K, Male,0
22004,30.0,9, <=50K, Male,0
12891,50.0,7, <=50K, Male,0
14394,40.0,>12, >50K, Female,1
14049,30.0,>12, <=50K, Female,0
8408,20.0,>12, <=50K, Female,0
29993,20.0,9, <=50K, Male,0
14720,10.0,7, <=50K, Female,0
29900,30.0,>12, >50K, Male,1
32287,50.0,>12, >50K, Male,0
7874,30.0,10, <=50K, Male,0
22651,50.0,6, <=50K, Male,0
19274,40.0,>12, <=50K, Female,1
2106,40.0,9, >50K, Male,1
887,20.0,11, <=50K, Male,0
7253,40.0,>12, >50K, Male,1
3859,40.0,9, <=50K, Female,0
18004,40.0,9, >50K, Male,1
7747,20.0,10, <=50K, Male,0
11094,40.0,10, <=50K, Male,0
29457,10.0,<6, <=50K, Male,0
18746,40.0,10, <=50K, Female,0
4401,40.0,10, >50K, Female,1
5166,40.0,9, >50K, Male,1
19209,20.0,10, <=50K, Female,0
25863,20.0,9, <=50K, Female,0
11258,30.0,9, <=50K, Female,0
30302,30.0,>12, >50K, Male,0
16068,20.0,9, <=50K, Male,0
8664,40.0,>12, <=50K, Female,0
2299,20.0,10, <=50K, Female,0
20072,60.0,9, >50K, Male,1
5655,40.0,10, <=50K, Male,0
4130,20.0,<6, <=50K, Male,0
12327,40.0,12, <=50K, Male,0
