,Age (decade),Education Years,Income,Gender,Income Binary
331,20.0,>12, <=50K, Male,0
13299,40.0,9, >50K, Male,1
18539,30.0,9, <=50K, Female,0
1816,40.0,9, <=50K, Male,0
16696,40.0,>12, <=50K, Male,0
9865,40.0,10, >50K, Male,1
24244,30.0,10, <=50K, Male,0
5189,50.0,9, <=50K, Female,0
5117,20.0,>12, <=50K, Male,0
8559,20.0,>12, <=50K, Male,0
16232,10.0,10, <=50K, Male,0
28920,30.0,11, <=50K, Female,0
17000,40.0,>12, >50K, Male,1
29104,20.0,11, <=50K, Female,0
12730,40.0,>12, >50K, Male,1
935,30.0,9, >50K, Male,1
9693,20.0,10, <=50K, Female,0
28829,60.0,10, <=50K, Female,0
15831,40.0,>12, >50K, Male,1
20731,30.0,>12, >50K, Female,1
29048,40.0,10, <=50K, Female,0
7322,20.0,10, <=50K, Female,0
13595,20.0,12, <=50K, Male,0
14310,30.0,<6, <=50K, Male,0
17033,40.0,10, <=50K, Male,0
27825,40.0,>12, >50K, Male,1
12621,60.0,8, <=50K, Male,0
4077,50.0,9, <=50K, Male,0
23225,50.0,>12, <=50K, Male,0
11506,>=70,10, <=50K, Male,0
6300,>=70,10, <=50K, Male,0
22328,50.0,9, >50K, Female,1
23291,40.0,9, <=50K, Male,0
6740,60.0,10, <=50K, Male,0
29322,60.0,<6, >50K, Male,1
27210,30.0,9, >50K, Male,1
24532,30.0,9, <=50K, Male,0
21838,20.0,10, <=50K, Female,0
17602,60.0,12, <=50K, Female,0
18245,40.0,6, <=50K, Male,0
6310,40.0,>12, >50K, Female,1
19840,20.0,11, <=50K, Male,0
28773,20.0,10, <=50K, Male,0
27256,10.0,8, <=50K, Female,0
3936,40.0,11, <=50K, Female,0
24401,60.0,>12, >50K, Male,1
20546,40.0,>12, >50K, Male,1
7752,40.0,>12, <=50K, Male,0
6063,20.0,>12, <=50K, Male,0
9157,20.0,9, <=50K, Female,0
18642,40.0,>12, <=50K, Male,0
1599,20.0,>12, <=50K, Male,0
20101,50.0,11, <=50K, Male,0
23212,50.0,9, <=50K, Female,0
15782,10.0,10, <=50K, Female,0
31374,20.0,9, <=50K, Male,0
1828,10.0,10, <=50K, Female,0
15299,30.0,9, <=50K, Male,0
24834,30.0,12, <=50K, Male,0
22682,40.0,>12, <=50K, Female,0
11644,20.0,10, <=50K, Female,0
20483,>=70,>12, <=50K, Female,0
13223,20.0,<6, <=50K, Male,0
26345,20.0,8, <=50K, Male,0
14494,30.0,9, >50K, Male,1
6225,30.0,10, >50K, Female,1
28489,50.0,>12, >50K, Male,1
30478,20.0,>12, <=50K, Male,0
28682,40.0,9, <=50K, Male,0
902,20.0,9, <=50K, Female,0
1924,20.0,>12, <=50K, Female,0
14393,20.0,9, <=50K, Female,0
2757,20.0,9, <=50K, Male,0
17430,30.0,9, <=50K, Male,0
24743,40.0,10, <=50K, Male,0
20981,40.0,11, <=50K, Female,0
30616,40.0,10, <=50K, Male,0
14474,30.0,11, >50K, Female,1
14096,50.0,>12, >50K, Male,1
18556,20.0,>12, <=50K, Male,0
28828,30.0,<6, <=50K, Female,0
418,30.0,7, <=50K, Male,0
1527,40.0,9, <=50K, Male,0
19585,40.0,10, >50K, Male,1
20520,20.0,9, <=50K, Male,0
293,20.0,10, <=50K, Male,0
19453,20.0,10, <=50K, Male,0
17570,40.0,>12, <=50K, Female,0
2956,60.0,>12, >50K, Male,1
22253,10.0,8, <=50K, Male,0
11394,40.0,9, >50K, Male,1
26241,40.0,11, <=50K, Male,0
27643,30.0,9, <=50K, Male,0
8742,50.0,>12, >50K, Male,1
12716,20.0,10, <=50K, Male,0
753,20.0,9, <=50K, Male,0
29486,30.0,9, <=50K, Male,0
29912,20.0,9, <=50K, Female,0
18101,40.0,9, >50K, Male,1
13918,50.0,>12, <=50K, Female,0
18110,20.0,>12, <=50K, Female,0
13383,30.0,>12, <=50K, Male,0
21447,40.0,9, <=50K, Male,0
6884,30.0,11, <=50K, Female,0
6130,50.0,>12, <=50K, Male,0
436,30.0,9, <=50K, Male,0
21396,30.0,9, <=50K, Male,0
12879,30.0,>12, >50K, Male,1
6029,30.0,>12, <=50K, Female,0
20482,>=70,9, <=50K, Female,0
5870,50.0,<6, <=50K, Male,0
31687,20.0,10, <=50K, Male,0
223,50.0,9, <=50K, Male,0
25789,50.0,>12, >50K, Male,1
32312,30.0,8, <=50K, Male,0
27354,20.0,10, <=50K, Male,0
24768,40.0,9, <=50K, Male,0
14821,50.0,>12, >50K, Female,1
13239,20.0,9, <=50K, Male,0
29368,40.0,11, <=50K, Male,0
11655,40.0,9, <=50K, Male,0
7217,30.0,>12, <=50K, Male,0
21204,30.0,10, <=50K, Male,0
17830,30.0,10, <=50K, Male,0
758,40.0,9, >50K, Female,1
21312,60.0,10, <=50K, Female,0
17160,30.0,9, >50K, Male,1
16650,20.0,>12, <=50K, Male,0
5018,30.0,10, <=50K, Male,0
26856,20.0,7, <=50K, Male,0
32296,40.0,10, <=50K, Female,0
31059,40.0,10, <=50K, Male,0
21962,30.0,9, <=50K, Male,0
26747,20.0,10, <=50K, Female,0
26914,50.0,7, <=50K, Male,0
4273,>=70,9, <=50K, Female,0
21883,50.0,9, >50K, Male,1
26920,40.0,>12, >50K, Male,1
29422,20.0,9, <=50K, Male,0
24431,20.0,9, <=50K, Male,0
2457,30.0,9, <=50K, Male,0
13615,10.0,7, <=50K, Female,0
13582,20.0,9, <=50K, Male,0
27450,30.0,11, >50K, Male,1
27474,30.0,12, <=50K, Male,0
28659,30.0,11, <=50K, Male,0
31237,10.0,9, <=50K, Female,0
3522,40.0,6, <=50K, Male,0
17013,40.0,>12, >50K, Male,1
15081,20.0,9, <=50K, Female,0
9856,40.0,9, <=50K, Female,0
30526,30.0,9, <=50K, Male,0
