,Age (decade),Education Years,Income,Gender,Income Binary
8986,30.0,10, <=50K, Male,0
1770,20.0,9, <=50K, Male,0
14059,20.0,9, <=50K, Male,0
23454,30.0,9, <=50K, Male,0
28851,60.0,>12, >50K, Male,1
13108,30.0,9, <=50K, Male,0
6668,30.0,9, <=50K, Female,0
17486,10.0,6, <=50K, Male,0
21107,30.0,9, <=50K, Male,0
18734,20.0,9, <=50K, Male,0
15132,30.0,>12, >50K, Female,1
17057,40.0,8, <=50K, Female,0
779,50.0,10, <=50K, Male,0
5494,30.0,>12, >50K, Male,1
24426,30.0,9, <=50K, Female,0
29386,20.0,9, <=50K, Male,0
18742,40.0,>12, <=50K, Female,0
14145,50.0,>12, >50K, Male,1
31677,40.0,9, <=50K, Male,0
29763,40.0,>12, >50K, Male,1
29545,20.0,11, <=50K, Female,0
21770,20.0,>12, <=50K, Male,0
13280,20.0,9, <=50K, Female,0
11137,50.0,9, <=50K, Female,0
12713,60.0,9, <=50K, Male,0
3607,40.0,10, <=50K, Male,0
25502,10.0,6, <=50K, Female,0
4116,60.0,11, <=50K, Male,0
9930,30.0,>12, >50K, Female,1
28156,20.0,10, <=50K, Female,0
24746,50.0,9, >50K, Male,1
25815,50.0,>12, >50K, Male,1
7897,30.0,9, <=50K, Male,0
573,30.0,12, >50K, Male,1
6243,40.0,11, <=50K, Female,0
30428,40.0,>12, <=50K, Male,0
13695,50.0,>12, >50K, Male,0
31102,20.0,<6, <=50K, Female,0
148,60.0,7, <=50K, Male,0
12183,10.0,>12, <=50K, Female,1
25074,30.0,<6, <=50K, Male,0
17049,50.0,9, >50K, Male,1
26197,40.0,9, <=50K, Male,0
11049,50.0,>12, <=50K, Male,0
31174,20.0,>12, <=50K, Male,0
7032,20.0,<6, <=50K, Male,0
24369,50.0,<6, <=50K, Male,0
4696,20.0,9, <=50K, Male,0
24267,30.0,10, >50K, Male,1
23290,40.0,>12, >50K, Male,1
30934,20.0,>12, <=50K, Male,0
3785,20.0,10, <=50K, Male,0
603,40.0,<6, <=50K, Male,0
9232,60.0,>12, >50K, Male,1
8904,30.0,10, <=50K, Female,1
178,10.0,9, <=50K, Male,0
21693,50.0,>12, >50K, Male,1
13260,30.0,10, >50K, Male,1
31586,50.0,10, <=50K, Female,1
7885,20.0,9, <=50K, Male,0
9574,10.0,8, <=50K, Male,0
18507,20.0,10, <=50K, Male,0
13362,40.0,9, <=50K, Male,0
22655,30.0,9, >50K, Female,1
15201,60.0,10, <=50K, Male,0
16133,20.0,>12, <=50K, Female,0
5650,30.0,9, <=50K, Male,0
27130,20.0,9, <=50K, Female,0
31146,40.0,>12, <=50K, Male,0
294,20.0,>12, <=50K, Female,0
8703,30.0,10, <=50K, Female,0
6145,40.0,9, <=50K, Male,0
9236,20.0,10, <=50K, Male,0
6790,60.0,>12, <=50K, Female,1
20188,50.0,9, <=50K, Female,0
10921,20.0,9, <=50K, Male,0
12612,20.0,9, <=50K, Male,0
28531,20.0,10, <=50K, Male,0
19451,40.0,9, >50K, Male,1
11059,>=70,>12, <=50K, Male,0
2638,50.0,11, >50K, Male,1
25494,20.0,>12, <=50K, Female,1
31885,30.0,10, <=50K, Male,0
17929,10.0,10, <=50K, Male,0
7399,40.0,>12, <=50K, Male,0
30185,40.0,7, <=50K, Male,0
20081,50.0,>12, <=50K, Male,0
16121,30.0,9, <=50K, Male,0
12048,20.0,9, <=50K, Female,0
1596,30.0,9, <=50K, Female,1
14831,40.0,>12, <=50K, Male,0
30769,40.0,10, >50K, Male,1
9417,30.0,9, <=50K, Male,0
14132,30.0,9, <=50K, Male,0
25393,30.0,8, <=50K, Female,1
20885,10.0,9, <=50K, Female,0
16779,20.0,>12, <=50K, Female,0
16988,20.0,9, <=50K, Female,0
20875,40.0,9, <=50K, Female,0
25924,40.0,9, <=50K, Male,0
4603,40.0,10, >50K, Male,1
12800,50.0,>12, >50K, Male,1
3680,30.0,>12, <=50K, Male,0
7728,30.0,10, <=50K, Male,0
26906,40.0,>12, >50K, Male,1
12242,40.0,>12, <=50K, Male,0
31322,30.0,11, >50K, Male,0
19373,20.0,12, <=50K, Male,0
23069,30.0,>12, <=50K, Female,0
14941,50.0,<6, <=50K, Male,0
15191,30.0,>12, >50K, Male,1
10154,20.0,10, <=50K, Female,0
13182,60.0,9, <=50K, Male,0
2027,20.0,9, <=50K, Male,0
24740,50.0,9, <=50K, Male,0
24981,40.0,>12, <=50K, Male,0
5724,20.0,10, <=50K, Male,0
1897,20.0,8, <=50K, Male,0
3143,30.0,>12, >50K, Male,1
7271,20.0,10, >50K, Male,1
31088,20.0,<6, <=50K, Male,0
25391,30.0,>12, <=50K, Male,0
13745,10.0,7, <=50K, Male,0
11597,40.0,>12, >50K, Female,1
2182,40.0,>12, >50K, Male,1
26787,30.0,9, <=50K, Male,0
8686,50.0,7, >50K, Male,1
