id,race,age_cat,c_charge_degree,priors_count,is_recid
4885,African-American,25 to 45,F,1 to 3,0
3904,African-American,Greater than 45,F,0,0
3853,African-American,25 to 45,M,More than 3,0
153,African-American,25 to 45,F,1 to 3,0
10486,Caucasian,Greater than 45,M,0,0
4262,African-American,25 to 45,F,1 to 3,1
4595,African-American,25 to 45,F,More than 3,1
6751,Caucasian,25 to 45,F,1 to 3,1
9712,African-American,25 to 45,F,1 to 3,1
1027,African-American,Less than 25,F,1 to 3,0
4509,African-American,Less than 25,F,0,0
9428,Caucasian,Greater than 45,M,More than 3,0
10550,Caucasian,25 to 45,M,0,0
1380,African-American,Greater than 45,F,1 to 3,1
3551,African-American,Less than 25,F,1 to 3,0
10229,African-American,25 to 45,F,1 to 3,0
965,African-American,Greater than 45,F,0,0
6793,Caucasian,25 to 45,M,1 to 3,0
10512,African-American,25 to 45,F,More than 3,1
3158,African-American,25 to 45,F,1 to 3,0
5760,Caucasian,25 to 45,M,0,0
4977,Caucasian,25 to 45,F,More than 3,1
6960,African-American,Greater than 45,F,0,0
6446,Caucasian,25 to 45,M,0,1
716,African-American,25 to 45,M,1 to 3,0
7347,African-American,25 to 45,F,0,0
3975,Caucasian,25 to 45,M,1 to 3,0
91,Caucasian,25 to 45,M,More than 3,1
1868,African-American,Less than 25,M,0,0
4684,Caucasian,25 to 45,M,0,1
7386,African-American,Less than 25,F,1 to 3,1
10753,African-American,Less than 25,F,1 to 3,0
4667,African-American,25 to 45,F,More than 3,1
622,Caucasian,25 to 45,M,0,0
6185,African-American,25 to 45,F,1 to 3,1
3444,Caucasian,25 to 45,F,0,1
4533,Caucasian,Less than 25,F,1 to 3,1
7224,African-American,Less than 25,F,1 to 3,1
8835,African-American,25 to 45,M,1 to 3,0
9945,Caucasian,Less than 25,F,0,1
7960,Caucasian,Greater than 45,M,1 to 3,1
7712,African-American,Less than 25,M,0,0
2530,African-American,Less than 25,F,0,0
1111,African-American,Greater than 45,F,1 to 3,0
1305,African-American,25 to 45,M,More than 3,0
6323,Caucasian,Greater than 45,M,1 to 3,1
523,African-American,Less than 25,F,1 to 3,1
10749,African-American,25 to 45,F,0,0
6193,African-American,25 to 45,M,1 to 3,0
8009,African-American,25 to 45,F,More than 3,1
4431,Caucasian,Greater than 45,M,1 to 3,1
2534,Caucasian,Greater than 45,F,1 to 3,1
8259,African-American,Greater than 45,F,0,0
7853,African-American,25 to 45,M,1 to 3,1
