id,race,age_cat,c_charge_degree,priors_count,is_recid
3015,Caucasian,Greater than 45,M,1 to 3,1
7788,African-American,25 to 45,F,More than 3,1
9980,African-American,25 to 45,F,1 to 3,1
9192,African-American,25 to 45,M,1 to 3,0
7176,Caucasian,25 to 45,F,1 to 3,0
8357,African-American,Less than 25,F,0,1
5995,Caucasian,25 to 45,F,More than 3,0
3737,Caucasian,25 to 45,F,0,0
8813,African-American,25 to 45,F,0,1
10577,Caucasian,Greater than 45,M,0,1
10361,Caucasian,25 to 45,F,1 to 3,0
4444,Caucasian,25 to 45,F,1 to 3,0
1990,African-American,Greater than 45,F,More than 3,1
64,African-American,25 to 45,F,0,1
4973,African-American,Less than 25,F,More than 3,1
10300,Caucasian,Greater than 45,M,0,0
2509,African-American,Less than 25,F,1 to 3,1
590,Caucasian,Greater than 45,F,1 to 3,1
4927,African-American,25 to 45,F,More than 3,1
2128,African-American,25 to 45,F,1 to 3,1
10765,African-American,Greater than 45,F,0,0
6721,African-American,25 to 45,M,0,0
6686,Caucasian,25 to 45,F,1 to 3,1
6654,African-American,Less than 25,F,1 to 3,1
8309,African-American,25 to 45,M,More than 3,0
5427,African-American,Less than 25,F,1 to 3,0
1471,Caucasian,Less than 25,M,1 to 3,1
10871,Caucasian,25 to 45,M,0,0
8560,Caucasian,Greater than 45,M,1 to 3,0
6259,Caucasian,Greater than 45,M,1 to 3,0
7510,African-American,25 to 45,F,0,0
3265,Caucasian,Greater than 45,F,0,0
5939,Caucasian,Greater than 45,F,1 to 3,0
1620,Caucasian,Greater than 45,F,0,0
10021,Caucasian,Less than 25,F,0,0
6477,Caucasian,Greater than 45,F,More than 3,1
8085,African-American,Less than 25,F,0,0
533,African-American,Less than 25,F,0,0
9381,Caucasian,25 to 45,M,1 to 3,0
3056,African-American,25 to 45,F,0,0
6152,African-American,25 to 45,M,0,0
2959,African-American,25 to 45,M,1 to 3,0
2130,Caucasian,Greater than 45,M,1 to 3,1
3661,African-American,Greater than 45,F,More than 3,1
5761,Caucasian,25 to 45,F,0,0
10416,African-American,Less than 25,M,1 to 3,0
9441,African-American,Greater than 45,M,More than 3,1
2316,Caucasian,Greater than 45,M,0,0
4384,African-American,Less than 25,F,1 to 3,1
4411,Caucasian,Greater than 45,F,1 to 3,0
871,Caucasian,25 to 45,M,0,0
7737,Caucasian,Less than 25,F,0,0
4010,African-American,Less than 25,F,0,0
9335,African-American,Greater than 45,F,More than 3,1
2584,African-American,Less than 25,F,1 to 3,0
1107,Caucasian,Less than 25,F,0,1
2010,African-American,25 to 45,M,0,0
1660,African-American,25 to 45,F,More than 3,0
10629,Caucasian,25 to 45,F,1 to 3,1
1897,Caucasian,Less than 25,F,1 to 3,1
4674,African-American,Less than 25,M,0,1
6191,African-American,25 to 45,F,1 to 3,0
4775,Caucasian,25 to 45,F,0,1
2790,Caucasian,25 to 45,M,0,0
1248,Caucasian,25 to 45,M,1 to 3,1
3982,African-American,25 to 45,F,0,0
2968,African-American,25 to 45,M,More than 3,1
1578,Caucasian,25 to 45,F,1 to 3,0
10818,Caucasian,25 to 45,F,More than 3,1
6078,Caucasian,25 to 45,F,0,0
857,African-American,25 to 45,F,More than 3,0
7255,African-American,25 to 45,M,More than 3,1
5665,Caucasian,Greater than 45,F,More than 3,0
6528,African-American,25 to 45,F,1 to 3,0
8452,Caucasian,25 to 45,M,1 to 3,0
5881,African-American,25 to 45,F,0,0
7916,African-American,25 to 45,F,0,0
9745,African-American,25 to 45,M,1 to 3,0
5061,African-American,Less than 25,F,1 to 3,1
5827,African-American,Less than 25,M,1 to 3,1
688,African-American,Less than 25,M,1 to 3,0
1615,Caucasian,25 to 45,F,0,0
7249,African-American,Less than 25,F,1 to 3,0
6106,African-American,Less than 25,F,1 to 3,0
3515,Caucasian,25 to 45,M,More than 3,0
2507,African-American,25 to 45,M,More than 3,0
5461,African-American,Less than 25,F,1 to 3,0
8534,Caucasian,25 to 45,F,More than 3,1
2427,African-American,25 to 45,F,More than 3,1
8326,Caucasian,25 to 45,F,More than 3,1
5762,Caucasian,25 to 45,M,0,1
9922,African-American,25 to 45,F,More than 3,0
2303,Caucasian,25 to 45,M,0,0
2306,Caucasian,Greater than 45,M,1 to 3,0
1623,African-American,Greater than 45,F,More than 3,0
8000,African-American,25 to 45,F,0,0
5108,Caucasian,Greater than 45,M,0,0
10963,Caucasian,25 to 45,F,More than 3,0
3023,African-American,25 to 45,F,More than 3,1
8988,African-American,Less than 25,F,1 to 3,0
4860,African-American,Less than 25,M,0,0
8657,Caucasian,25 to 45,F,0,1
6855,Caucasian,25 to 45,F,1 to 3,1
580,Caucasian,Less than 25,M,1 to 3,0
1698,Caucasian,Less than 25,M,0,0
810,African-American,25 to 45,F,1 to 3,0
2782,African-American,25 to 45,M,More than 3,1
3290,African-American,Greater than 45,F,0,0
1069,Caucasian,Greater than 45,F,1 to 3,0
10029,Caucasian,Greater than 45,F,0,0
10010,African-American,Less than 25,F,0,1
4582,African-American,Greater than 45,M,1 to 3,0
6605,African-American,Less than 25,F,0,0
1849,African-American,25 to 45,F,More than 3,1
5352,African-American,Less than 25,M,0,1
6484,Caucasian,Greater than 45,F,0,0
10985,African-American,25 to 45,F,More than 3,1
9991,Caucasian,Less than 25,M,0,0
7432,Caucasian,25 to 45,F,1 to 3,0
7808,African-American,25 to 45,F,0,0
6649,Caucasian,25 to 45,M,1 to 3,1
1601,Caucasian,Greater than 45,F,0,1
5117,African-American,Less than 25,F,1 to 3,0
9196,Caucasian,25 to 45,F,0,1
630,Caucasian,Less than 25,F,0,0
8775,African-American,25 to 45,F,More than 3,0
4229,Caucasian,Less than 25,F,0,1
9547,Caucasian,25 to 45,M,0,0
10806,African-American,Less than 25,F,1 to 3,0
552,Caucasian,Less than 25,M,1 to 3,1
9040,African-American,25 to 45,F,1 to 3,0
5069,African-American,Less than 25,M,1 to 3,1
