id,race,age_cat,c_charge_degree,priors_count,is_recid
7275,Caucasian,25 to 45,M,0,0
5187,Caucasian,Greater than 45,F,More than 3,0
3884,Caucasian,Greater than 45,F,0,1
4235,African-American,Greater than 45,F,More than 3,1
5364,Caucasian,25 to 45,M,0,0
10556,African-American,25 to 45,F,1 to 3,0
4835,African-American,25 to 45,F,1 to 3,0
438,African-American,25 to 45,F,More than 3,1
548,African-American,Less than 25,F,1 to 3,1
602,African-American,25 to 45,F,More than 3,1
4469,Caucasian,Greater than 45,M,0,0
5561,African-American,25 to 45,F,0,0
4521,Caucasian,25 to 45,F,0,0
9635,Caucasian,25 to 45,F,0,0
8625,African-American,Less than 25,F,0,0
3349,African-American,25 to 45,M,0,1
1467,African-American,25 to 45,F,More than 3,1
579,African-American,Less than 25,F,More than 3,1
693,Caucasian,Greater than 45,F,More than 3,1
10677,African-American,25 to 45,F,More than 3,1
1923,Caucasian,25 to 45,M,More than 3,1
8500,African-American,Less than 25,F,0,1
2548,African-American,25 to 45,F,1 to 3,1
4463,Caucasian,Greater than 45,F,More than 3,1
5298,Caucasian,25 to 45,M,More than 3,0
2928,African-American,25 to 45,M,1 to 3,0
2109,Caucasian,25 to 45,F,0,0
7534,Caucasian,25 to 45,F,1 to 3,1
7819,African-American,Less than 25,M,1 to 3,1
10407,African-American,Greater than 45,F,More than 3,1
5554,African-American,25 to 45,M,More than 3,0
7811,Caucasian,25 to 45,M,1 to 3,0
3394,Caucasian,Less than 25,F,1 to 3,1
3780,Caucasian,Less than 25,M,1 to 3,0
3182,African-American,25 to 45,F,1 to 3,0
7077,African-American,25 to 45,F,More than 3,1
5717,African-American,25 to 45,M,1 to 3,1
9668,African-American,25 to 45,M,0,0
7942,African-American,25 to 45,F,More than 3,1
3759,African-American,25 to 45,F,More than 3,0
4444,Caucasian,25 to 45,F,1 to 3,0
3340,African-American,25 to 45,M,More than 3,1
1427,African-American,25 to 45,F,More than 3,1
542,African-American,Less than 25,F,1 to 3,1
3208,African-American,25 to 45,M,0,0
1730,African-American,Greater than 45,F,More than 3,0
3160,African-American,Less than 25,F,1 to 3,1
8106,African-American,Greater than 45,F,1 to 3,1
4135,African-American,25 to 45,F,More than 3,1
358,Caucasian,25 to 45,F,0,1
2691,African-American,Greater than 45,M,0,0
4381,Caucasian,Greater than 45,M,1 to 3,0
8381,African-American,25 to 45,M,1 to 3,0
7753,African-American,Greater than 45,M,1 to 3,0
8045,Caucasian,Less than 25,F,More than 3,1
3598,African-American,25 to 45,F,1 to 3,0
10753,African-American,Less than 25,F,1 to 3,1
10223,African-American,25 to 45,M,0,0
5120,African-American,Greater than 45,M,0,0
8418,Caucasian,25 to 45,F,0,0
1505,African-American,Less than 25,F,0,1
9618,Caucasian,25 to 45,F,1 to 3,1
2300,Caucasian,Greater than 45,F,More than 3,1
2448,African-American,Less than 25,F,0,1
5416,African-American,25 to 45,M,1 to 3,0
10941,Caucasian,25 to 45,M,0,1
8239,African-American,25 to 45,F,More than 3,0
6490,African-American,Less than 25,F,0,1
3003,African-American,25 to 45,F,1 to 3,0
5666,Caucasian,25 to 45,F,1 to 3,1
1607,African-American,25 to 45,F,More than 3,1
6001,African-American,25 to 45,F,More than 3,1
10513,Caucasian,25 to 45,F,0,0
7602,African-American,25 to 45,F,More than 3,1
8560,Caucasian,Greater than 45,M,1 to 3,0
6173,African-American,Greater than 45,M,0,0
9846,Caucasian,25 to 45,F,1 to 3,1
321,African-American,25 to 45,M,1 to 3,0
5432,Caucasian,Greater than 45,M,More than 3,1
10673,African-American,25 to 45,F,More than 3,1
4028,African-American,25 to 45,M,0,0
9985,Caucasian,25 to 45,F,More than 3,0
5484,Caucasian,Greater than 45,F,1 to 3,0
5810,African-American,25 to 45,M,More than 3,1
5968,Caucasian,Greater than 45,F,More than 3,1
210,African-American,25 to 45,F,1 to 3,1
6981,Caucasian,25 to 45,F,0,1
4161,African-American,Greater than 45,M,0,1
8021,Caucasian,Greater than 45,F,More than 3,0
9948,African-American,25 to 45,F,More than 3,0
10004,African-American,25 to 45,M,More than 3,0
4178,Caucasian,25 to 45,F,0,0
6851,Caucasian,25 to 45,F,More than 3,1
5113,African-American,Less than 25,F,0,1
10494,African-American,Less than 25,M,1 to 3,1
10652,African-American,25 to 45,M,1 to 3,1
6399,Caucasian,25 to 45,F,More than 3,0
6156,Caucasian,25 to 45,M,More than 3,0
9907,African-American,Greater than 45,F,More than 3,1
3500,Caucasian,25 to 45,M,1 to 3,0
1141,African-American,25 to 45,M,More than 3,0
4929,African-American,Greater than 45,M,1 to 3,1
10242,Caucasian,25 to 45,M,1 to 3,0
10544,Caucasian,Greater than 45,M,0,0
4879,African-American,25 to 45,F,1 to 3,1
4629,Caucasian,Greater than 45,M,0,1
9208,African-American,25 to 45,F,More than 3,1
5274,African-American,Less than 25,M,0,1
163,Caucasian,25 to 45,F,1 to 3,0
6655,African-American,25 to 45,F,1 to 3,0
3713,African-American,25 to 45,F,1 to 3,1
5975,Caucasian,Greater than 45,F,1 to 3,0
641,Caucasian,25 to 45,M,0,1
3046,African-American,25 to 45,F,More than 3,0
6717,Caucasian,25 to 45,F,1 to 3,0
863,Caucasian,25 to 45,F,More than 3,0
9220,Caucasian,25 to 45,M,0,0
6178,Caucasian,25 to 45,M,More than 3,0
7547,Caucasian,Greater than 45,F,0,0
7476,African-American,Greater than 45,M,More than 3,0
2079,African-American,25 to 45,M,1 to 3,0
9996,Caucasian,25 to 45,F,0,1
10036,African-American,25 to 45,M,More than 3,1
5730,African-American,25 to 45,F,More than 3,1
7365,Caucasian,25 to 45,F,1 to 3,0
8797,African-American,25 to 45,F,0,0
8010,Caucasian,Less than 25,M,0,0
4168,Caucasian,Greater than 45,F,More than 3,0
10849,African-American,25 to 45,M,More than 3,1
5544,African-American,Less than 25,F,1 to 3,0
2573,Caucasian,25 to 45,F,More than 3,1
9981,African-American,Less than 25,F,1 to 3,1
10932,African-American,25 to 45,F,More than 3,0
9868,African-American,25 to 45,M,1 to 3,0
100,African-American,Greater than 45,M,0,0
2446,Caucasian,Less than 25,F,0,1
7545,Caucasian,Less than 25,F,1 to 3,0
3952,Caucasian,25 to 45,M,0,0
9306,African-American,Less than 25,M,0,1
6952,African-American,Less than 25,F,0,0
451,African-American,Less than 25,M,More than 3,1
1727,African-American,Greater than 45,F,1 to 3,0
10324,African-American,Less than 25,M,1 to 3,1
7561,Caucasian,25 to 45,F,More than 3,0
3551,African-American,Less than 25,F,1 to 3,1
871,Caucasian,25 to 45,M,0,0
7040,Caucasian,Less than 25,F,0,0
1248,Caucasian,25 to 45,M,1 to 3,1
686,Caucasian,25 to 45,M,0,1
4588,African-American,Less than 25,F,1 to 3,1
3747,Caucasian,25 to 45,M,1 to 3,0
7435,African-American,25 to 45,F,0,0
8061,Caucasian,25 to 45,F,More than 3,0
302,African-American,25 to 45,F,More than 3,1
4128,African-American,Less than 25,M,0,1
3351,African-American,25 to 45,F,1 to 3,1
7705,Caucasian,Greater than 45,F,1 to 3,0
4956,African-American,25 to 45,F,More than 3,0
1325,African-American,Greater than 45,F,0,0
1402,African-American,Greater than 45,M,0,0
8046,African-American,25 to 45,F,More than 3,1
4265,African-American,Greater than 45,F,More than 3,0
7710,Caucasian,Less than 25,F,1 to 3,1
6152,African-American,25 to 45,M,0,0
6521,Caucasian,25 to 45,F,More than 3,1
7515,African-American,Less than 25,F,1 to 3,1
6114,Caucasian,25 to 45,F,1 to 3,0
3831,Caucasian,Less than 25,F,0,1
8546,Caucasian,Less than 25,F,1 to 3,0
4847,Caucasian,Greater than 45,M,1 to 3,1
2052,Caucasian,25 to 45,F,1 to 3,0
195,Caucasian,25 to 45,F,1 to 3,0
390,African-American,25 to 45,F,More than 3,0
1534,African-American,25 to 45,F,1 to 3,0
10972,Caucasian,25 to 45,F,0,0
9441,African-American,25 to 45,M,More than 3,1
7541,Caucasian,Greater than 45,M,More than 3,0
9353,Caucasian,25 to 45,F,1 to 3,1
10956,Caucasian,Greater than 45,M,1 to 3,0
9648,Caucasian,Greater than 45,F,1 to 3,0
8009,African-American,25 to 45,F,More than 3,1
1222,African-American,25 to 45,F,More than 3,1
9358,African-American,25 to 45,F,More than 3,1
9674,Caucasian,Less than 25,M,More than 3,1
9375,African-American,25 to 45,F,More than 3,1
10280,African-American,25 to 45,F,1 to 3,1
5333,African-American,Less than 25,F,0,0
5880,African-American,25 to 45,F,0,0
1217,African-American,25 to 45,F,1 to 3,1
4660,African-American,Less than 25,F,0,0
10844,Caucasian,25 to 45,F,More than 3,1
1850,African-American,25 to 45,F,More than 3,1
330,African-American,Greater than 45,F,0,0
5853,African-American,25 to 45,F,0,1
7327,African-American,25 to 45,M,0,1
8311,Caucasian,Less than 25,F,1 to 3,0
1268,African-American,25 to 45,F,1 to 3,1
6688,Caucasian,25 to 45,F,0,0
10814,African-American,Greater than 45,F,More than 3,1
10903,African-American,Less than 25,F,1 to 3,1
3710,African-American,Less than 25,F,1 to 3,1
5542,African-American,25 to 45,M,0,0
3168,African-American,25 to 45,F,More than 3,1
2147,African-American,25 to 45,F,0,0
5067,African-American,Less than 25,F,1 to 3,1
8047,African-American,Less than 25,F,1 to 3,0
4183,Caucasian,Greater than 45,F,0,0
9070,Caucasian,Greater than 45,F,More than 3,1
445,Caucasian,Greater than 45,F,1 to 3,0
8287,Caucasian,Less than 25,M,1 to 3,1
8754,Caucasian,25 to 45,F,1 to 3,0
6963,Caucasian,Greater than 45,F,1 to 3,0
10454,African-American,25 to 45,F,More than 3,1
7245,African-American,25 to 45,M,More than 3,1
8458,Caucasian,Greater than 45,F,1 to 3,0
2690,Caucasian,Greater than 45,F,More than 3,1
485,African-American,Less than 25,F,1 to 3,1
180,African-American,25 to 45,M,1 to 3,0
10293,Caucasian,Less than 25,F,1 to 3,0
3570,Caucasian,25 to 45,M,0,1
10498,Caucasian,Greater than 45,F,1 to 3,0
10007,African-American,Less than 25,F,0,0
7898,African-American,25 to 45,F,1 to 3,0
3323,African-American,25 to 45,M,More than 3,1
7830,African-American,25 to 45,F,1 to 3,1
10787,African-American,Greater than 45,M,More than 3,1
5600,African-American,25 to 45,M,0,1
5892,African-American,Less than 25,F,0,1
4697,African-American,Less than 25,M,0,0
8626,Caucasian,25 to 45,F,More than 3,1
2042,African-American,Greater than 45,F,More than 3,0
1088,Caucasian,Greater than 45,F,0,0
8350,African-American,Less than 25,F,0,1
7131,African-American,25 to 45,F,More than 3,1
3963,Caucasian,Greater than 45,F,1 to 3,0
10552,Caucasian,Greater than 45,M,0,0
351,Caucasian,25 to 45,F,1 to 3,0
6502,African-American,25 to 45,M,More than 3,1
624,African-American,Less than 25,F,0,0
9773,African-American,Less than 25,F,1 to 3,1
3137,Caucasian,Greater than 45,M,1 to 3,1
3069,Caucasian,25 to 45,F,1 to 3,0
7186,Caucasian,25 to 45,F,1 to 3,0
6371,African-American,25 to 45,F,More than 3,1
7906,African-American,25 to 45,F,1 to 3,1
5929,Caucasian,25 to 45,F,1 to 3,1
10423,Caucasian,25 to 45,F,1 to 3,1
5062,Caucasian,25 to 45,F,More than 3,1
3769,Caucasian,Greater than 45,M,0,0
452,Caucasian,Greater than 45,F,0,0
10838,African-American,25 to 45,F,1 to 3,1
7197,Caucasian,25 to 45,F,0,0
2984,African-American,Greater than 45,M,More than 3,0
947,Caucasian,Less than 25,F,1 to 3,0
916,African-American,25 to 45,F,0,0
4520,African-American,25 to 45,F,1 to 3,1
657,African-American,Less than 25,F,1 to 3,1
4833,Caucasian,25 to 45,F,1 to 3,0
10484,Caucasian,25 to 45,M,1 to 3,0
9738,African-American,25 to 45,M,1 to 3,0
8515,African-American,25 to 45,F,1 to 3,0
3267,African-American,25 to 45,M,0,0
5060,African-American,Less than 25,F,1 to 3,1
10189,African-American,25 to 45,F,More than 3,1
3453,African-American,Greater than 45,F,More than 3,1
1173,African-American,25 to 45,F,More than 3,1
9346,African-American,25 to 45,M,0,0
7697,African-American,25 to 45,M,0,0
3344,African-American,25 to 45,F,1 to 3,1
1796,African-American,Less than 25,F,0,1
1429,African-American,25 to 45,F,More than 3,1
7246,Caucasian,Less than 25,F,1 to 3,0
9626,African-American,25 to 45,F,More than 3,1
2713,Caucasian,25 to 45,M,More than 3,0
8023,African-American,25 to 45,M,More than 3,1
6501,African-American,Greater than 45,F,0,0
4199,Caucasian,Less than 25,F,1 to 3,0
10907,Caucasian,25 to 45,F,1 to 3,0
3156,Caucasian,Greater than 45,F,More than 3,0
5792,Caucasian,25 to 45,M,1 to 3,1
3714,Caucasian,Greater than 45,M,1 to 3,0
3602,African-American,25 to 45,M,More than 3,1
3885,Caucasian,Greater than 45,M,1 to 3,1
9046,Caucasian,25 to 45,M,1 to 3,0
771,Caucasian,25 to 45,F,1 to 3,0
2594,African-American,Greater than 45,F,1 to 3,0
5162,Caucasian,25 to 45,F,0,0
5045,Caucasian,25 to 45,F,More than 3,0
8000,African-American,25 to 45,F,1 to 3,1
7158,Caucasian,25 to 45,F,1 to 3,1
4447,African-American,Less than 25,F,1 to 3,1
9883,African-American,25 to 45,F,More than 3,1
3401,African-American,Greater than 45,M,1 to 3,1
4870,Caucasian,Less than 25,M,1 to 3,0
2065,Caucasian,25 to 45,M,1 to 3,0
5014,African-American,25 to 45,F,More than 3,1
327,Caucasian,Greater than 45,M,0,0
5590,Caucasian,25 to 45,M,1 to 3,0
3036,African-American,25 to 45,M,0,0
1346,African-American,25 to 45,F,More than 3,0
7919,African-American,25 to 45,F,More than 3,1
478,African-American,25 to 45,F,More than 3,0
7581,African-American,25 to 45,M,0,1
6941,African-American,Greater than 45,F,1 to 3,1
5632,Caucasian,25 to 45,M,More than 3,1
1597,African-American,25 to 45,F,0,0
10756,Caucasian,25 to 45,F,0,0
432,Caucasian,25 to 45,M,More than 3,0
3084,African-American,Greater than 45,M,More than 3,0
10750,Caucasian,Greater than 45,M,0,0
3462,Caucasian,25 to 45,M,1 to 3,1
6459,African-American,Greater than 45,M,More than 3,1
5174,African-American,25 to 45,F,1 to 3,0
2871,African-American,Less than 25,F,0,1
6292,African-American,Greater than 45,M,1 to 3,0
7513,African-American,Less than 25,F,1 to 3,1
406,African-American,25 to 45,F,More than 3,1
4480,Caucasian,25 to 45,F,More than 3,1
6210,African-American,Less than 25,F,1 to 3,1
5381,African-American,25 to 45,M,More than 3,1
9096,African-American,25 to 45,F,More than 3,0
2513,African-American,Less than 25,F,More than 3,1
3498,African-American,25 to 45,F,More than 3,1
926,African-American,25 to 45,M,More than 3,1
1433,African-American,Less than 25,F,1 to 3,0
10865,Caucasian,Greater than 45,F,1 to 3,0
7915,African-American,25 to 45,F,0,0
10422,Caucasian,25 to 45,F,1 to 3,1
8728,Caucasian,Less than 25,M,0,0
3051,African-American,Greater than 45,M,0,0
8777,Caucasian,Less than 25,F,1 to 3,0
8355,African-American,25 to 45,F,1 to 3,0
2737,African-American,25 to 45,F,More than 3,1
2568,African-American,Greater than 45,F,More than 3,1
9280,Caucasian,25 to 45,M,More than 3,0
6996,African-American,Less than 25,M,0,1
843,African-American,25 to 45,F,More than 3,0
5459,African-American,Greater than 45,M,0,0
10437,Caucasian,25 to 45,M,1 to 3,1
6354,Caucasian,Greater than 45,F,More than 3,1
5724,Caucasian,Greater than 45,M,1 to 3,0
334,African-American,25 to 45,F,More than 3,1
2010,African-American,25 to 45,M,0,0
10483,African-American,Less than 25,M,0,0
3865,African-American,Less than 25,M,0,0
1125,African-American,25 to 45,F,More than 3,1
